"t" "whit.ei" "x" "hisp.ei" "black.ei" "n"
0.449050086355786 0.850574712643678 0.149425287356322 0.116584564860427 0.0328407224958949 609
0.357400722021661 0.761739130434783 0.238260869565217 0.226086956521739 0.0121739130434783 575
0.26628895184136 0.710416666666667 0.289583333333333 0.270833333333333 0.01875 480
0.212765957446809 0.816537467700258 0.183462532299742 0.147286821705426 0.0361757105943152 387
0.376470588235294 0.815533980582524 0.184466019417476 0.172815533980583 0.0116504854368932 515
0.20875 0.73125 0.26875 0.246875 0.021875 320
0.267045454545455 0.635974304068523 0.364025695931477 0.336188436830835 0.0278372591006424 467
0.472 0.469026548672566 0.530973451327434 0.0973451327433628 0.433628318584071 226
0.391304347826087 0.76843910806175 0.23156089193825 0.207547169811321 0.0240137221269297 583
0.478571428571429 0.0143198090692124 0.985680190930788 0.035799522673031 0.949880668257757 419
0.395577395577396 0.00492610837438424 0.995073891625616 0.0147783251231527 0.980295566502463 406
0.492753623188406 0 1 0.00584795321637427 0.994152046783626 342
0.350299401197605 0.009009009009009 0.990990990990991 0.024024024024024 0.966966966966967 333
0.291358024691358 0.148751357220413 0.851248642779587 0.258414766558089 0.592833876221498 921
0.459183673469388 0.010126582278481 0.98987341772152 0.0430379746835443 0.946835443037975 395
0.448453608247423 0.0103359173126615 0.989664082687339 0.0155038759689922 0.974160206718346 387
0.299307958477509 0.0350877192982456 0.964912280701754 0.0456140350877193 0.919298245614035 570
0.461077844311377 0.0233918128654971 0.976608187134503 0.0253411306042885 0.951267056530214 513
0.415 0.019559902200489 0.98044009779951 0.0904645476772616 0.88997555012225 409
0.424242424242424 0 1 0.0192307692307692 0.98076923076923 364
0.235382308845577 0.090909090909091 0.909090909090909 0.184659090909091 0.724431818181818 704
0.404301075268817 0.0064516129032258 0.993548387096774 0.0387096774193548 0.95483870967742 465
0.422319474835886 0.00426439232409382 0.995735607675906 0.0298507462686567 0.96588486140725 469
0.406593406593407 0.00659340659340659 0.993406593406593 0.0043956043956044 0.98901098901099 455
0.417190775681342 0.0144927536231884 0.985507246376812 0.020703933747412 0.9648033126294 483
0.381322957198444 0.101221640488656 0.898778359511344 0.183246073298429 0.715532286212915 573
0.463855421686747 0.0029940119760479 0.997005988023952 0.00598802395209581 0.991017964071856 334
0.327548806941432 0.0597322348094748 0.940267765190525 0.173017507723996 0.76725025746653 971
0.23963963963964 0.0816326530612245 0.918367346938776 0.159863945578231 0.758503401360544 588
0.418032786885246 0.0102459016393443 0.989754098360656 0.014344262295082 0.975409836065574 488
0.429347826086957 0.00909090909090909 0.99090909090909 0.0127272727272727 0.978181818181818 550
0.262254901960784 0.0738636363636364 0.926136363636364 0.292045454545455 0.634090909090909 880
0.395784543325527 0.00476190476190476 0.995238095238095 0.0261904761904762 0.969047619047619 420
0.418604651162791 0.00705882352941176 0.992941176470588 0.00705882352941176 0.985882352941176 425
0.262790697674419 0 1 0.0117370892018779 0.988262910798122 426
0.377049180327869 0.010752688172043 0.989247311827957 0.0241935483870968 0.96505376344086 372
0.504608294930876 0.00700934579439252 0.992990654205608 0 0.992990654205608 428
0.363829787234043 0.0579710144927536 0.942028985507246 0.115942028985507 0.826086956521739 483
0.344761904761905 0.00572519083969466 0.994274809160305 0.00572519083969466 0.98854961832061 524
0.28665568369028 0.0383386581469649 0.961661341853035 0.0814696485623003 0.880191693290735 626
0.484126984126984 0.00400801603206413 0.995991983967936 0.0120240480961924 0.983967935871743 499
